,exp,it,res,all,time
0,15,0,618659840,73467904,16715.240234375
1,15,1,337641472,73467904,29.65977668762207
2,15,2,337641472,73467904,28.65180778503418
3,15,3,339738624,73467904,29.044063568115234
4,16,0,339738624,77662208,53.21510314941406
5,16,1,352321536,77662208,31.62179183959961
6,16,2,331350016,77662208,29.489503860473633
7,16,3,331350016,77662208,29.957727432250977
8,17,0,576716800,86056960,35.30940628051758
9,17,1,559939584,86050816,35.934783935546875
10,17,2,562036736,86050816,36.911617279052734
11,17,3,580911104,86050816,36.391136169433594
12,18,0,1073741824,102828032,41.00556945800781
13,18,1,1073741824,102828032,39.72313690185547
14,18,2,1042284544,102828032,39.455936431884766
15,18,3,1073741824,102828032,36.92464065551758
16,19,0,2065694720,136382464,40.74204635620117
17,19,1,2099249152,136384000,38.89289474487305
18,19,2,2099249152,136382464,38.87356948852539
19,19,3,2099249152,136382464,38.932640075683594
20,20,0,4087349248,203491328,44.48992156982422
21,20,1,4089446400,203491328,44.72236633300781
22,20,2,4020240384,203491328,42.52732849121094
23,20,3,4089446400,203491328,44.80214309692383
24,21,0,7992246272,337709056,47.987327575683594
25,21,1,7858028544,337709056,47.72159957885742
26,21,2,7990149120,337709056,48.2534065246582
27,21,3,7858028544,337709056,47.833953857421875
28,22,0,15934160896,606144512,85.82109069824219
29,22,1,16202596352,606144512,85.68780517578125
30,22,2,15936258048,606144512,85.66659545898438
31,22,3,15936258048,606144512,85.3914566040039
32,23,0,31555846144,1143015424,167.23878479003906
33,23,1,31555846144,1143015424,167.514404296875
34,23,2,31555846144,1143016960,166.74032592773438
35,23,3,31555846144,1143015424,166.7295379638672
36,24,0,62795022336,2216757248,329.5451965332031
37,24,1,62862131200,2216757248,536.1895751953125
38,24,2,63866667008,2216757248,723.2320556640625
39,24,3,63866667008,2216757248,366.7152404785156
