,exp,it,res,all,time
0,15,0,356515840,76905472,28212.45703125
1,15,1,337641472,111536128,18.16387176513672
2,15,2,337641472,111536128,14.946080207824707
3,15,3,337641472,111536128,14.954208374023438
4,16,0,337641472,153774080,15.172224044799805
5,16,1,316669952,153774080,14.362848281860352
6,16,2,295698432,153774080,14.506239891052246
7,16,3,295698432,153911808,15.247808456420898
8,17,0,385875968,238256128,18.677183151245117
9,17,1,348127232,238249984,15.797504425048828
10,17,2,350224384,238249984,17.5947208404541
11,17,3,369098752,238249984,17.96294403076172
12,18,0,641728512,408240640,20.523839950561523
13,18,1,641728512,408240640,20.13599967956543
14,18,2,677380096,408240640,18.870975494384766
15,18,3,641728512,408240640,19.53209686279297
16,19,0,1184890880,745105408,20.26041603088379
17,19,1,1251999744,745106944,21.300832748413086
18,19,2,1251999744,745105408,20.072351455688477
19,19,3,1251999744,745105408,19.953216552734375
20,20,0,2329935872,1420912640,22.959232330322266
21,20,1,2332033024,1420912640,20.286752700805664
22,20,2,2329935872,1420912640,21.998815536499023
23,20,3,2332033024,1420912640,23.286815643310547
24,21,0,4622123008,2772527104,30.80473518371582
25,21,1,4487905280,2772527104,28.343488693237305
26,21,2,4620025856,2772527104,29.962656021118164
27,21,3,4622123008,2772527104,28.84204864501953
28,22,0,9200205824,5475756032,56.085697174072266
29,22,1,9200205824,5475756032,60.14611053466797
30,22,2,8933867520,5475756032,62.42323303222656
31,22,3,8933867520,5475756032,61.26870346069336
32,23,0,17557356544,10882213888,171.282470703125
33,23,1,17557356544,10882213888,124.25862121582031
34,23,2,17557356544,10882215424,121.18720245361328
35,23,3,17557356544,10882213888,124.27568054199219
36,24,0,35878076416,21695129600,235.0672607421875
37,24,1,36951818240,21695129600,227.77122497558594
38,24,2,35875979264,21695129600,264.7674255371094
39,24,3,35875979264,21695129600,321.8777770996094
