,exp,it,res,all,time
0,15,0,358612992,155206656,28060.458984375
1,15,1,341835776,192008192,42.68124771118164
2,15,2,320864256,192005120,40.81897735595703
3,15,3,320864256,192141312,41.739105224609375
4,16,0,385875968,310907904,45.4788818359375
5,16,1,385875968,311329280,43.87382507324219
6,16,2,383778816,311330816,43.252159118652344
7,16,3,392167424,311017472,44.19113540649414
8,17,0,706740224,546982400,51.819297790527344
9,17,1,706740224,546982400,49.99033737182617
10,17,2,706740224,546982400,50.178688049316406
11,17,3,725614592,547146240,49.80598449707031
12,18,0,1337982976,1025473024,54.832191467285156
13,18,1,1337982976,1025473024,53.91507339477539
14,18,2,1300234240,1024434176,57.50614547729492
15,18,3,1302331392,1024434176,53.42019271850586
16,19,0,2491416576,1966880768,53.47075271606445
17,19,1,2558525440,1966880768,54.190399169921875
18,19,2,2558525440,1966880768,56.214046478271484
19,19,3,2558525440,1966880768,55.38351821899414
20,20,0,4989124608,3860084736,59.7086067199707
21,20,1,5056233472,3860084736,57.95644760131836
22,20,2,5058330624,3860084736,58.90662384033203
23,20,3,5058330624,3860084736,60.24291229248047
24,21,0,10185867264,7646492672,77.96131134033203
25,21,1,9783214080,7646492672,74.45629119873047
26,21,2,10051649536,7646492672,73.08930969238281
27,21,3,10051649536,7646492672,73.49501037597656
28,22,0,19759366144,15219308544,167.52000427246094
29,22,1,19759366144,15219308544,164.10794067382812
30,22,2,19220398080,15219308544,163.0009307861328
31,22,3,20835205120,15219308544,163.3955535888672
32,23,0,39724253184,30365644288,332.17437744140625
33,23,1,38111543296,30365644288,338.333740234375
34,23,2,39187382272,30365644288,333.7083740234375
35,23,3,39185285120,30365644288,335.9630126953125
