,exp,it,res,all,time
0,15,0,599785472,69908480,17920.228515625
1,15,1,299892736,69908480,30.45622444152832
2,15,2,299892736,69908480,28.944320678710938
3,15,3,299892736,69908480,29.094303131103516
4,16,0,297795584,72005632,51.7542724609375
5,16,1,295698432,72005632,28.768896102905273
6,16,2,295698432,72136704,30.29430389404297
7,16,3,295698432,72005632,29.821855545043945
8,17,0,406847488,76199936,34.556190490722656
9,17,1,385875968,76199936,34.873023986816406
10,17,2,390070272,76331008,34.27267074584961
11,17,3,385875968,76199936,34.649696350097656
12,18,0,742391808,84588544,40.43881607055664
13,18,1,742391808,84588544,36.61884689331055
14,18,2,742391808,84588544,38.642879486083984
15,18,3,740294656,84588544,38.18115234375
16,19,0,1388314624,101365760,37.937278747558594
17,19,1,1388314624,101365760,70.60797119140625
18,19,2,1371537408,101365760,52.86857604980469
19,19,3,1371537408,101365760,585.7645263671875
20,20,0,2690646016,134920192,44.68636703491211
21,20,1,2690646016,134920192,41.111392974853516
22,20,2,2657091584,134920192,39.84873580932617
23,20,3,2657091584,134920192,40.497920989990234
24,21,0,5253365760,202029056,49.767425537109375
25,21,1,5286920192,202029056,47.452415466308594
26,21,2,5286920192,202029056,47.90972900390625
27,21,3,5286920192,202029056,48.019134521484375
28,22,0,10410262528,336246784,91.5107192993164
29,22,1,10544480256,336246784,92.39324951171875
30,22,2,10410262528,336246784,92.0860824584961
31,22,3,10544480256,336246784,91.20223999023438
32,23,0,20795359232,604682240,708.4476318359375
33,23,1,20795359232,604682240,179.01321411132812
34,23,2,20797456384,604682240,179.48191833496094
35,23,3,20797456384,604682240,179.25331115722656
36,24,0,41833988096,1141553152,355.6595764160156
37,24,1,41833988096,1141553152,533.63037109375
38,24,2,41833988096,1141553152,359.7981872558594
39,24,3,41833988096,1141553152,358.1314697265625
