,exp,it,res,all,time
0,15,0,620756992,75632640,16597.93359375
1,15,1,339738624,75632640,73.25885009765625
2,15,2,320864256,75632640,58.01785659790039
3,15,3,320864256,75632640,68.11804962158203
4,16,0,415236096,79826944,86.23216247558594
5,16,1,417333248,79826944,59.98969650268555
6,16,2,419430400,80686080,60.67168045043945
7,16,3,415236096,79826944,60.63056182861328
8,17,0,742391808,88215552,63.87936019897461
9,17,1,740294656,88217088,63.547969818115234
10,17,2,742391808,88215552,63.31721496582031
11,17,3,759169024,88217088,63.323646545410156
12,18,0,1405091840,104992768,64.8523178100586
13,18,1,1421869056,104992768,66.36329650878906
14,18,2,1400897536,104992768,67.6813735961914
15,18,3,1386217472,104992768,63.16044616699219
16,19,0,2648702976,138547200,71.6740493774414
17,19,1,2684354560,138547200,64.36557006835938
18,19,2,2682257408,138547200,63.41302490234375
19,19,3,2715811840,138969600,68.0995864868164
20,20,0,5312086016,205656064,67.00899505615234
21,20,1,5247074304,206078464,68.90140533447266
22,20,2,5247074304,205656064,70.53193664550781
23,20,3,5247074304,206078464,70.09967803955078
24,21,0,10705960960,339873792,105.57068634033203
25,21,1,10573840384,339873792,105.35539245605469
26,21,2,10573840384,339873792,105.493408203125
27,21,3,10571743232,339873792,106.08067321777344
28,22,0,21082669056,608309248,201.92189025878906
29,22,1,21080571904,608309248,202.63250732421875
30,22,2,21082669056,608309248,200.8646697998047
31,22,3,21080571904,608309248,201.2803192138672
32,23,0,42372956160,1145180160,398.3710632324219
33,23,1,41833988096,1145180160,396.9031677246094
34,23,2,41833988096,1145180160,397.95526123046875
35,23,3,41836085248,1145180160,397.78448486328125
