,exp,it,res,all,time
0,15,0,620756992,75632640,16597.130859375
1,15,1,339738624,75632640,65.63225555419922
2,15,2,320864256,75632640,57.92975997924805
3,15,3,320864256,75632640,68.20604705810547
4,16,0,415236096,79826944,86.28848266601562
5,16,1,417333248,79826944,59.80886459350586
6,16,2,419430400,80686080,60.50758361816406
7,16,3,415236096,79826944,60.76947021484375
8,17,0,742391808,88215552,63.93801498413086
9,17,1,740294656,88217088,63.536991119384766
10,17,2,742391808,88215552,63.36288070678711
11,17,3,759169024,88217088,63.77369689941406
12,18,0,1405091840,104992768,64.84230041503906
13,18,1,1421869056,104992768,66.36077117919922
14,18,2,1400897536,104992768,67.37964630126953
15,18,3,1386217472,104992768,63.205440521240234
16,19,0,2648702976,138547200,71.66140747070312
17,19,1,2684354560,138547200,64.39942169189453
18,19,2,2682257408,138547200,63.441566467285156
19,19,3,2715811840,138969600,68.11558532714844
20,20,0,5312086016,205656064,67.03507232666016
21,20,1,5247074304,206078464,68.94681549072266
22,20,2,5247074304,205656064,70.57810974121094
23,20,3,5247074304,206078464,70.12397003173828
24,21,0,10705960960,339873792,107.92813110351562
25,21,1,10573840384,339873792,107.53916931152344
26,21,2,10573840384,339873792,107.73689270019531
27,21,3,10573840384,339873792,108.2642593383789
28,22,0,21082669056,608309248,208.1228790283203
29,22,1,21080571904,608309248,208.87059020996094
30,22,2,21082669056,608309248,207.31773376464844
31,22,3,21080571904,608309248,207.4204864501953
32,23,0,41836085248,1145180160,410.606201171875
33,23,1,41299214336,1145180160,409.6717834472656
34,23,2,41836085248,1145180160,410.18115234375
35,23,3,41299214336,1145180160,411.1350402832031
