,exp,it,res,all,time
0,15,0,337641472,46461440,32256.556640625
1,15,1,297795584,80191488,13.284607887268066
2,15,2,297795584,80191488,7.27785587310791
3,15,3,297795584,80191488,7.163424015045166
4,16,0,297795584,92921856,7.920447826385498
5,16,1,295698432,92921856,7.235360145568848
6,16,2,295698432,92921856,7.157120227813721
7,16,3,295698432,92921856,7.634496212005615
8,17,0,293601280,118382592,8.031968116760254
9,17,1,293601280,118382592,7.14035177230835
10,17,2,293601280,118382592,7.183263778686523
11,17,3,293601280,118382592,8.531295776367188
12,18,0,295698432,169304064,8.933119773864746
13,18,1,295698432,170352640,9.099231719970703
14,18,2,295698432,170352640,8.389023780822754
15,18,3,346030080,170352640,9.92512035369873
16,19,0,528482304,271147008,15.824064254760742
17,19,1,528482304,271147008,11.126272201538086
18,19,2,595591168,271147008,10.1560640335083
19,19,3,595591168,271147008,10.178112030029297
20,20,0,1069547520,474832896,14.228960037231445
21,20,1,1069547520,474832896,12.234560012817383
22,20,2,1035993088,474832896,12.235712051391602
23,20,3,968884224,474832896,10.769344329833984
24,21,0,1912602624,882204672,18.105375289916992
25,21,1,1912602624,882204672,15.003680229187012
26,21,2,2046820352,882204672,12.702048301696777
27,21,3,2046820352,882204672,13.641632080078125
28,22,0,3665821696,1696948224,31.066688537597656
29,22,1,3800039424,1696948224,25.64361572265625
30,22,2,3800039424,1696948224,26.570880889892578
31,22,3,3800039424,1696948224,28.52649688720703
32,23,0,7574913024,3326435328,335.4423828125
33,23,1,7843348480,3326435328,55.0401611328125
34,23,2,7306477568,3326435328,56.146976470947266
35,23,3,7574913024,3326435328,57.280513763427734
36,24,0,14587789312,6585409536,88.81571197509766
37,24,1,14856224768,6585409536,95.47254180908203
38,24,2,14319353856,6585409536,103.59811401367188
39,24,3,14319353856,6585409536,83.96880340576172
