,exp,it,res,all,time
0,15,0,339738624,110760960,28196.146484375
1,15,1,299892736,143283200,46.94825744628906
2,15,2,299892736,143283200,45.67808151245117
3,15,3,299892736,143283200,49.658592224121094
4,16,0,297795584,214062592,49.02921676635742
5,16,1,295698432,214065664,48.18102264404297
6,16,2,295698432,214067712,49.48064041137695
7,16,3,295698432,214326272,47.45734405517578
8,17,0,478150656,358285824,54.2196159362793
9,17,1,459276288,358020096,48.66012954711914
10,17,2,457179136,358020096,49.79840087890625
11,17,3,478150656,358020096,49.29209518432617
12,18,0,845152256,651981312,53.04851150512695
13,18,1,817889280,651982336,52.2391357421875
14,18,2,834666496,651981312,54.919071197509766
15,18,3,905969664,651981312,56.870208740234375
16,19,0,1692401664,1224274944,55.295135498046875
17,19,1,1604321280,1224274944,54.200767517089844
18,19,2,1606418432,1224274944,55.0684814453125
19,19,3,1606418432,1224274944,54.833953857421875
20,20,0,3170893824,2379281408,58.24764633178711
21,20,1,3269459968,2379281408,58.44976043701172
22,20,2,3166699520,2379281408,56.242366790771484
23,20,3,3166699520,2379281408,55.335201263427734
24,21,0,6081740800,4689294336,70.03612518310547
25,21,1,6218055680,4689294336,64.9507827758789
26,21,2,6014631936,4689294336,63.96531295776367
27,21,3,6419382272,4689294336,66.17686462402344
28,22,0,13312720896,9309320192,119.92857360839844
29,22,1,13715374080,9309320192,126.38511657714844
30,22,2,13310623744,9309320192,126.54684448242188
31,22,3,13310623744,9309320192,123.92237091064453
32,23,0,24951914496,18549371904,248.88931274414062
33,23,1,25490882560,18549371904,255.54730224609375
34,23,2,24415043584,18549371904,254.86019897460938
35,23,3,24415043584,18549371904,254.2499237060547
36,24,0,50119835648,37029475328,501.0297546386719
37,24,1,47433383936,37029475328,500.7922058105469
38,24,2,50117738496,37029475328,501.0543212890625
39,24,3,52267319296,37029475328,503.7174072265625
