,exp,it,res,all,time
0,15,0,339738624,110760960,28196.41015625
1,15,1,299892736,143283200,46.926910400390625
2,15,2,299892736,143283200,45.66038513183594
3,15,3,299892736,143283200,49.32729721069336
4,16,0,297795584,214062592,50.365150451660156
5,16,1,295698432,214065664,47.96086502075195
6,16,2,295698432,214067712,49.205055236816406
7,16,3,295698432,214326272,47.16678237915039
8,17,0,478150656,358285824,57.53855895996094
9,17,1,459276288,358020096,48.694305419921875
10,17,2,457179136,358020096,49.99398422241211
11,17,3,478150656,358020096,49.331520080566406
12,18,0,845152256,651981312,52.962337493896484
13,18,1,817889280,651982336,52.17750549316406
14,18,2,834666496,651981312,54.847137451171875
15,18,3,905969664,651981312,56.837215423583984
16,19,0,1692401664,1224274944,55.55699157714844
17,19,1,1604321280,1224274944,54.126976013183594
18,19,2,1606418432,1224274944,55.0623664855957
19,19,3,1606418432,1224274944,54.314144134521484
20,20,0,3170893824,2379281408,59.23417663574219
21,20,1,3269459968,2379281408,58.34640121459961
22,20,2,3166699520,2379281408,56.23660659790039
23,20,3,3166699520,2379281408,55.37318420410156
24,21,0,6081740800,4689294336,70.81603240966797
25,21,1,6218055680,4689294336,65.16028594970703
26,21,2,6014631936,4689294336,63.787872314453125
27,21,3,6419382272,4689294336,66.26451110839844
28,22,0,13312720896,9309320192,122.08697509765625
29,22,1,13715374080,9309320192,125.45894622802734
30,22,2,13310623744,9309320192,125.6107177734375
31,22,3,13310623744,9309320192,123.12268829345703
32,23,0,24951914496,18549371904,252.0526123046875
33,23,1,25490882560,18549371904,253.68780517578125
34,23,2,25490882560,18549371904,253.01014709472656
35,23,3,24683479040,18549371904,252.38255310058594
36,24,0,50119835648,37029475328,503.2828369140625
37,24,1,47433383936,37029475328,496.6119689941406
38,24,2,47433383936,37029475328,496.9897155761719
39,24,3,47433383936,37029475328,499.7496337890625
