,exp,it,res,all,time
0,15,0,603979776,70610944,18359.44140625
1,15,1,304087040,70610944,56.15647888183594
2,15,2,304087040,70610944,55.10300827026367
3,15,3,304087040,70610944,54.72627258300781
4,16,0,333447168,72708096,81.3453140258789
5,16,1,297795584,72708096,55.53788757324219
6,16,2,331350016,72708096,55.968990325927734
7,16,3,295698432,72708096,59.84873580932617
8,17,0,488636416,76902400,63.47030258178711
9,17,1,499122176,76902400,598.9705810546875
10,17,2,503316480,76902400,59.80022430419922
11,17,3,486539264,76902400,63.95481491088867
12,18,0,941621248,85291008,65.56339263916016
13,18,1,935329792,85291008,69.27670288085938
14,18,2,935329792,85291008,64.47795104980469
15,18,3,935329792,85291008,64.604736328125
16,19,0,1746927616,102068224,66.67766571044922
17,19,1,1746927616,102068224,64.33580780029297
18,19,2,1746927616,102068224,64.95487976074219
19,19,3,1746927616,102068224,62.00137710571289
20,20,0,3470786560,135622656,65.23833465576172
21,20,1,3439329280,135622656,63.95840072631836
22,20,2,3470786560,135622656,63.27414321899414
23,20,3,3470786560,135622656,64.36742401123047
24,21,0,6851395584,202731520,91.8980484008789
25,21,1,6851395584,202731520,91.63542175292969
26,21,2,6851395584,202731520,660.744140625
27,21,3,6784286720,202731520,91.95433807373047
28,22,0,13667139584,336949248,178.5660858154297
29,22,1,13398704128,336949248,177.8706512451172
30,22,2,13398704128,336949248,177.63314819335938
31,22,3,13398704128,336949248,177.8335723876953
32,23,0,26770145280,605384704,393.4032287597656
33,23,1,26770145280,605384704,351.2682189941406
34,23,2,26770145280,605384704,352.112548828125
35,23,3,26770145280,605384704,351.5272521972656
36,24,0,53779365888,1142255616,724.9592895507812
37,24,1,53779365888,1142255616,712.3545532226562
38,24,2,53781463040,1142255616,894.3116455078125
39,24,3,53781463040,1142255616,708.2833251953125
