,exp,it,res,all,time
0,15,0,339738624,85073408,32219.736328125
1,15,1,299892736,117508608,32.513118743896484
2,15,2,299892736,117508608,28.279808044433594
3,15,3,299892736,117508608,29.94700813293457
4,16,0,297795584,166345216,30.107135772705078
5,16,1,297795584,166612992,27.77244758605957
6,16,2,295698432,166345216,27.501216888427734
7,16,3,295698432,166345216,27.72969627380371
8,17,0,350224384,264267264,33.114017486572266
9,17,1,350224384,264262656,69.33042907714844
10,17,2,385875968,264343552,31.97884750366211
11,17,3,350224384,264343552,31.29599952697754
12,18,0,662700032,461641728,36.83295822143555
13,18,1,627048448,461642752,36.67766571044922
14,18,2,662700032,461643776,38.13916778564453
15,18,3,662700032,461642752,35.81987380981445
16,19,0,1174405120,850153472,36.851806640625
17,19,1,1277165568,850153472,36.418174743652344
18,19,2,1207959552,850154496,36.67942428588867
19,19,3,1224736768,850155520,36.8059196472168
20,20,0,2313158656,1631343616,39.7589111328125
21,20,1,2311061504,1631343616,35.966304779052734
22,20,2,2413821952,1631343616,36.838401794433594
23,20,3,2411724800,1631344640,36.7410888671875
24,21,0,4580179968,3193305088,49.61606216430664
25,21,1,4716494848,3193305088,86.65055847167969
26,21,2,4917821440,3193305088,126.78272247314453
27,21,3,4645191680,3193305088,44.27280044555664
28,22,0,9644802048,6318061568,98.91276550292969
29,22,1,9105833984,6318061568,82.94207763671875
30,22,2,10584326144,6318061568,83.71794891357422
31,22,3,10317987840,6318061568,84.16316986083984
32,23,0,19241369600,12567574528,185.9601287841797
33,23,1,17897095168,12567574528,164.63714599609375
34,23,2,19241369600,12567574528,171.25827026367188
35,23,3,18704498688,12567574528,169.67213439941406
36,24,0,38168166400,25067018240,679.76708984375
37,24,1,38705037312,25067018240,334.3774108886719
38,24,2,35481714688,25067018240,539.9840087890625
39,24,3,38705037312,25067018240,331.790283203125
