,exp,it,res,all,time
0,15,0,392167424,255916032,28248.943359375
1,15,1,394264576,303068672,42.430015563964844
2,15,2,392167424,302196736,41.20435333251953
3,15,3,377487360,300899328,41.823646545410156
4,16,0,652214272,511937024,51.30940628051758
5,16,1,629145600,512912384,49.744991302490234
6,16,2,656408576,512890880,48.79267120361328
7,16,3,635437056,512274944,46.63836669921875
8,17,0,1233125376,933762048,54.549888610839844
9,17,1,1201668096,934003712,51.85142517089844
10,17,2,1201668096,934006784,49.00940704345703
11,17,3,1182793728,933826560,50.12688064575195
12,18,0,2319450112,1782056448,56.840415954589844
13,18,1,2382364672,1780315648,62.10240173339844
14,18,2,2283798528,1782647296,55.99030303955078
15,18,3,2336227328,1781865984,58.02649688720703
16,19,0,4460642304,3462274048,60.5634880065918
17,19,1,4359979008,3463879168,55.0327033996582
18,19,2,4257218560,3462592000,57.17145538330078
19,19,3,4458545152,3463135744,57.37596893310547
20,20,0,8973713408,6831834624,68.57855987548828
21,20,1,8571060224,6832584192,62.15571212768555
22,20,2,8571060224,6831837696,64.21308898925781
23,20,3,8573157376,6831831552,61.60710525512695
24,21,0,18010341376,13571026432,98.45327758789062
25,21,1,17737711616,13571782144,96.04291534423828
26,21,2,17335058432,13571813888,95.94723510742188
27,21,3,17335058432,13571798528,95.75682830810547
28,22,0,36737908736,27049422336,212.16915893554688
29,22,1,35662069760,27050947072,208.0273895263672
30,22,2,35649486848,27049309696,207.72518920898438
31,22,3,36725325824,27049425408,207.09225463867188
