,exp,it,res,all,time
0,15,0,392167424,255916032,28248.49609375
1,15,1,394264576,303068672,42.439231872558594
2,15,2,392167424,302196736,41.209632873535156
3,15,3,377487360,300899328,41.90313720703125
4,16,0,652214272,511937024,51.293758392333984
5,16,1,629145600,512912384,49.74595260620117
6,16,2,656408576,512890880,48.819007873535156
7,16,3,635437056,512274944,46.71388626098633
8,17,0,1233125376,933762048,54.54240036010742
9,17,1,1201668096,934003712,51.85804748535156
10,17,2,1201668096,934006784,48.92230224609375
11,17,3,1182793728,933826560,50.11103820800781
12,18,0,2319450112,1782056448,56.791168212890625
13,18,1,2382364672,1780315648,62.0233268737793
14,18,2,2283798528,1782647296,55.95872116088867
15,18,3,2336227328,1781865984,58.00249481201172
16,19,0,4460642304,3462274048,60.59833526611328
17,19,1,4359979008,3463879168,55.247520446777344
18,19,2,4257218560,3462592000,56.37673568725586
19,19,3,4458545152,3463135744,57.362815856933594
20,20,0,8973713408,6831834624,68.83468627929688
21,20,1,8571060224,6832584192,62.87452697753906
22,20,2,8571060224,6831837696,64.2330551147461
23,20,3,8573157376,6831831552,62.49651336669922
24,21,0,17471373312,13571026432,99.54752349853516
25,21,1,17070817280,13571782144,95.98438262939453
26,21,2,16936599552,13570263552,97.21321868896484
27,21,3,17332961280,13571035648,96.88211059570312
28,22,0,37274779648,27049422336,215.35865783691406
29,22,1,35655778304,27050956288,209.73414611816406
30,22,2,36983275520,27049309696,209.8751983642578
31,22,3,34313601024,27049428480,209.96534729003906
