,exp,it,res,all,time
0,15,0,912261120,100259328,16638.009765625
1,15,1,446693376,99243520,95.2034912109375
2,15,2,465567744,99034112,91.1395492553711
3,15,3,450887680,98859008,88.76780700683594
4,16,0,803209216,107826176,114.46745300292969
5,16,1,788529152,108010496,92.35734558105469
6,16,2,790626304,107732480,90.88921356201172
7,16,3,792723456,107732480,90.52108764648438
8,17,0,1493172224,124501504,105.11100769042969
9,17,1,1495269376,123961344,95.45081329345703
10,17,2,1478492160,123961344,93.04566192626953
11,17,3,1476395008,123961344,92.55564880371094
12,18,0,2866806784,157341696,94.13683319091797
13,18,1,2896166912,159670272,91.36450958251953
14,18,2,2797600768,158892032,93.40147399902344
15,18,3,2816475136,159664128,93.2646713256836
16,19,0,5542772736,227484160,95.06694030761719
17,19,1,5509218304,226193920,94.74092864990234
18,19,2,5473566720,226734592,96.87721252441406
19,19,3,5473566720,227634688,96.03206634521484
20,20,0,11131682816,361701888,123.2607650756836
21,20,1,10729029632,360952320,123.31433868408203
22,20,2,10863247360,360949248,122.5902099609375
23,20,3,10865344512,360946176,120.7729263305664
24,21,0,22049456128,630137344,224.57725524902344
25,21,1,21648900096,628612608,223.97161865234375
26,21,2,21514682368,629387776,224.0773468017578
27,21,3,21642608640,629381632,224.1334686279297
28,22,0,43740299264,1167786496,439.5932312011719
29,22,1,42121297920,1166139904,440.23797607421875
30,22,2,42911924224,1166258688,439.80224609375
31,22,3,42926604288,1166912000,439.3643798828125
